label,device_type,flow_pkts_s,flow_byts_s,flow_duration_s,avg_pkt_len
DDoS,camera,795.88,300975.69,7.966,506.64
Normal,camera,115.8,78597.89,3.059,732.01
DDoS,thermostat,460.42,150997.72,2.9,433.77
Normal,thermostat,96.64,29137.3,1.481,612.12
Normal,light,23.39,3477.82,4.108,648.74
Normal,camera,114.58,72105.27,1.803,762.23
Normal,light,38.11,26597.44,3.423,643.73
DDoS,speaker,556.12,53980.86,3.208,577.85
Normal,light,58.39,7454.23,2.351,795.53
Normal,camera,129.35,103666.93,1.624,583.31
Normal,thermostat,55.28,19120.67,0.1,680.88
DDoS,camera,1049.05,317185.34,1.266,573.37
Normal,camera,66.4,86477.2,4.682,601.06
Normal,speaker,53.38,41465.33,0.301,678.88
DDoS,camera,989.84,554317.66,9.693,397.6
Normal,thermostat,39.65,29365.24,1.395,674.92
DDoS,light,121.25,99992.46,3.9,452.0
Normal,light,44.57,13119.22,2.196,703.68
DDoS,light,223.55,158918.75,6.828,542.63
DDoS,camera,720.49,272540.52,2.773,618.07
Normal,thermostat,98.8,33907.46,5.771,603.25
Normal,thermostat,57.5,18519.83,3.435,698.04
DDoS,camera,614.76,479267.67,5.755,582.4
Normal,thermostat,70.64,24535.42,3.185,718.38
DDoS,camera,1102.45,723727.99,1.138,415.74
Normal,camera,84.96,111622.18,4.614,586.39
Normal,thermostat,56.29,17701.13,3.153,687.57
Normal,camera,119.48,87700.49,3.831,479.09
DDoS,light,288.88,122203.25,1.785,492.96
Normal,light,33.71,20195.68,3.093,786.32
DDoS,speaker,345.67,184274.45,9.768,486.28
DDoS,camera,939.2,346206.99,6.322,426.67
Normal,camera,143.26,88163.03,4.158,618.54
Normal,camera,154.35,94094.16,6.121,700.41
DDoS,light,389.77,105876.17,1.77,724.12
Normal,light,58.01,22497.34,1.159,549.0
DDoS,camera,569.99,494020.97,6.168,607.1
Normal,speaker,76.45,47721.85,1.925,709.16
Normal,camera,85.08,87813.1,4.084,677.18
DDoS,thermostat,481.84,143137.14,4.538,742.76
Normal,light,24.12,28175.15,8.133,624.2
Normal,speaker,86.62,59007.51,2.247,731.06
Normal,light,54.17,28898.67,3.204,619.61
Normal,speaker,60.84,39810.33,4.247,675.75
Normal,thermostat,32.34,100.0,6.705,690.91
DDoS,speaker,685.92,249685.51,5.402,650.1
Normal,camera,123.17,85246.99,1.837,488.78
Normal,speaker,31.6,23535.18,1.44,543.9
DDoS,thermostat,427.29,142200.54,3.39,414.72
Normal,speaker,64.36,35452.11,0.951,668.89
Normal,thermostat,89.51,7638.91,1.906,594.31
DDoS,light,316.79,54316.13,1.069,535.54
DDoS,thermostat,507.46,119062.82,7.243,590.3
Normal,light,12.89,33518.84,3.742,573.94
Normal,camera,155.27,86912.2,2.127,756.71
Normal,camera,105.73,93942.76,2.087,738.58
Normal,camera,101.38,86548.35,2.264,575.23
Normal,camera,143.92,107570.42,5.568,637.55
Normal,speaker,93.33,28988.71,1.105,734.56
Normal,camera,106.08,104351.3,4.626,704.41
Normal,speaker,96.15,38812.66,2.424,598.07
Normal,thermostat,41.38,30727.55,2.945,631.68
DDoS,camera,931.88,667780.67,1.739,446.41
Normal,light,38.22,35404.08,0.896,684.7
Normal,light,14.84,36074.8,3.218,603.57
Normal,thermostat,98.95,28212.36,4.543,708.01
Normal,light,8.8,22725.19,7.579,582.13
DDoS,light,267.75,92965.4,2.738,643.05
Normal,camera,88.61,78780.91,6.417,670.93
Normal,speaker,79.92,34348.94,0.736,705.94
Normal,speaker,88.46,27009.79,1.525,581.69
DDoS,light,407.2,98911.19,2.875,489.79
Normal,camera,115.23,100091.02,0.454,727.65
Normal,light,19.53,19635.74,1.128,605.77
Normal,camera,110.27,92363.89,1.655,614.77
Normal,camera,103.83,80849.02,5.115,610.63
Normal,camera,115.35,90924.34,4.108,665.35
Normal,thermostat,102.64,27956.18,1.364,794.34
DDoS,speaker,363.48,213502.67,8.212,470.29
DDoS,light,238.48,88510.66,2.238,447.8
Normal,light,46.38,100.0,1.228,687.67
Normal,thermostat,79.76,30356.49,1.454,613.92
Normal,thermostat,51.44,22321.93,5.069,792.0
DDoS,thermostat,423.43,51577.18,3.827,507.83
Normal,speaker,97.79,29276.25,1.486,593.54
DDoS,camera,1003.43,326326.42,1.864,649.54
Normal,speaker,88.84,7629.05,2.53,686.41
Normal,light,42.79,9479.7,3.987,827.45
Normal,thermostat,77.28,41409.27,2.238,743.83
Normal,light,45.34,27560.21,4.164,577.11
DDoS,thermostat,321.09,135441.6,5.527,540.65
DDoS,speaker,445.57,175717.6,1.723,347.5
Normal,speaker,101.56,31265.33,1.383,636.89
Normal,thermostat,68.05,36391.09,1.705,722.3
DDoS,camera,1141.66,701737.99,7.809,524.96
DDoS,light,359.95,128694.14,2.744,430.8
Normal,speaker,85.31,22959.87,2.293,530.81
Normal,camera,94.72,93916.57,1.492,659.86
Normal,light,68.66,100.0,3.649,649.07
Normal,light,43.44,19353.25,3.669,716.96
Normal,light,28.64,19686.11,7.247,718.87
Normal,camera,150.34,70428.56,0.624,534.46
Normal,light,71.42,100.0,6.646,629.71
Normal,speaker,91.17,23502.79,1.775,580.21
Normal,camera,115.59,73721.46,2.917,555.03
DDoS,camera,719.66,358023.84,3.256,768.54
DDoS,speaker,558.39,158154.41,2.035,557.89
Normal,camera,125.79,105775.96,2.008,582.85
DDoS,speaker,690.02,178482.04,0.821,304.36
DDoS,thermostat,599.21,201394.99,6.597,343.87
Normal,camera,126.62,96081.63,0.227,817.98
Normal,speaker,95.58,26242.55,5.025,640.18
DDoS,thermostat,658.47,130016.35,7.986,525.18
DDoS,thermostat,461.91,93331.03,9.877,428.61
DDoS,thermostat,560.24,149561.45,12.256,787.88
DDoS,light,408.74,25041.0,7.675,509.45
Normal,camera,111.21,103620.44,1.322,773.06
Normal,thermostat,48.72,22522.17,1.698,489.37
Normal,speaker,87.55,31507.74,1.421,603.32
Normal,camera,113.98,91366.8,2.068,530.58
Normal,light,46.94,40144.8,5.068,576.26
Normal,thermostat,59.96,31639.57,0.532,737.55
Normal,light,1.0,1098.82,2.939,576.03
DDoS,camera,659.05,495284.34,2.047,479.02
Normal,speaker,91.56,44627.99,2.7,824.2
Normal,thermostat,42.99,20213.72,1.305,689.95
Normal,camera,112.0,112690.09,1.794,586.09
Normal,camera,106.77,94119.57,3.646,702.34
DDoS,camera,1042.7,625748.6,2.485,591.52
DDoS,thermostat,348.99,73326.27,6.605,618.65
DDoS,thermostat,304.36,163643.71,6.201,281.65
Normal,speaker,47.36,48533.72,5.191,683.95
Normal,thermostat,61.09,34155.5,0.562,782.15
Normal,camera,117.42,119846.41,2.098,709.15
Normal,light,76.79,34625.25,1.482,424.54
DDoS,light,271.61,99218.23,5.674,547.18
DDoS,camera,1029.26,592603.13,5.782,303.91
DDoS,camera,1120.31,439222.95,5.165,550.32
Normal,camera,72.34,87125.71,2.427,752.52
DDoS,light,221.47,90681.84,1.875,670.78
Normal,light,55.85,33105.13,3.557,700.56
DDoS,thermostat,405.47,149204.61,1.914,529.51
Normal,speaker,98.26,33234.14,2.56,529.59
Normal,speaker,77.8,39089.21,1.612,688.82
Normal,light,29.53,20683.19,1.382,684.79
DDoS,speaker,623.19,59655.39,8.104,657.44
Normal,camera,73.28,80216.27,1.801,718.67
Normal,camera,104.83,105792.67,1.727,722.43
DDoS,camera,813.36,379415.91,8.245,457.27
Normal,camera,145.86,88131.33,3.129,794.51
Normal,thermostat,64.99,23233.94,2.537,528.62
Normal,speaker,81.4,46961.8,2.5,713.01
Normal,camera,85.23,85698.65,2.132,709.43
DDoS,camera,1097.86,269332.63,1.886,467.44
DDoS,thermostat,428.06,99918.54,2.521,470.99
Normal,speaker,61.44,26679.24,3.89,522.5
DDoS,thermostat,218.96,94409.27,5.087,558.85
Normal,thermostat,85.33,12734.78,3.148,739.71
Normal,camera,128.97,108692.15,5.296,582.68
Normal,camera,132.86,97079.01,2.292,755.29
Normal,speaker,80.31,29764.52,3.16,714.47
Normal,speaker,114.57,18317.81,4.197,718.5
DDoS,camera,883.38,312036.57,6.624,559.62
DDoS,speaker,526.44,198666.25,3.591,666.31
Normal,light,59.71,11157.68,3.445,659.14
Normal,speaker,74.72,25611.95,2.113,620.64
DDoS,thermostat,385.05,115932.27,7.655,504.43
DDoS,thermostat,581.83,159416.04,7.179,555.52
DDoS,thermostat,486.32,110606.38,7.542,530.98
Normal,light,56.35,16441.53,8.532,717.88
DDoS,camera,969.52,633124.34,3.907,386.15
Normal,camera,109.18,95407.61,0.472,608.31
Normal,thermostat,44.99,32058.84,4.175,597.86
Normal,light,37.2,17386.25,6.009,569.0
Normal,camera,109.97,87069.42,0.601,740.64
Normal,light,26.78,33802.56,2.662,653.48
Normal,speaker,67.83,12261.99,14.845,638.03
Normal,camera,143.66,106362.68,1.067,665.43
DDoS,light,303.76,25869.27,4.223,618.52
Normal,thermostat,85.66,22063.58,2.643,771.55
Normal,speaker,123.72,18979.81,2.338,805.34
Normal,camera,119.56,106423.81,2.472,663.27
DDoS,light,292.32,93247.17,2.482,366.81
Normal,speaker,65.29,34928.76,0.701,791.23
Normal,speaker,112.36,34953.05,4.117,589.63
Normal,light,83.1,11301.16,2.156,582.38
DDoS,thermostat,451.02,123483.41,4.63,495.95
DDoS,light,354.71,90016.18,1.848,623.96
Normal,speaker,100.88,31506.03,5.15,623.26
Normal,light,52.72,6895.96,1.857,547.57
DDoS,camera,530.75,856680.05,1.06,521.18
Normal,speaker,55.92,51462.47,3.172,717.71
Normal,light,49.25,20886.97,1.956,577.23
Normal,light,63.26,22624.92,2.11,562.47
Normal,camera,117.13,89608.13,2.627,725.75
Normal,light,31.46,748.77,1.706,748.9
Normal,thermostat,53.4,43659.55,4.753,741.8
DDoS,light,348.98,73100.48,2.384,693.65
DDoS,camera,626.18,419689.72,6.675,536.15
Normal,light,24.05,25539.11,1.069,674.41
DDoS,speaker,537.71,216458.67,3.732,586.14
Normal,camera,151.86,80782.3,4.294,659.47
Normal,speaker,55.08,49666.33,2.585,543.14
Normal,thermostat,53.65,20363.46,0.48,518.01
DDoS,speaker,551.16,174641.56,3.019,544.23
DDoS,light,332.89,110353.2,2.766,511.5
DDoS,light,237.25,83522.32,3.768,371.57
DDoS,light,114.04,57373.15,6.145,541.62
Normal,speaker,106.72,35457.01,3.761,610.9
DDoS,thermostat,332.83,136098.13,4.801,544.9
DDoS,thermostat,380.22,105785.61,1.131,582.79
DDoS,light,243.93,96968.71,6.343,546.4
Normal,speaker,41.06,47500.0,0.385,622.75
Normal,light,45.27,46273.55,4.28,470.41
Normal,light,33.9,100.0,1.232,604.39
Normal,thermostat,55.54,27642.56,4.113,662.49
Normal,speaker,88.68,19562.37,6.575,536.38
Normal,camera,90.81,99209.27,4.895,742.16
Normal,thermostat,55.74,21923.73,3.878,623.65
Normal,camera,120.88,99766.71,1.516,676.33
Normal,thermostat,41.34,17466.94,1.881,610.99
Normal,thermostat,103.17,3492.81,2.968,627.19
DDoS,thermostat,413.67,115371.9,5.803,551.98
Normal,light,18.39,15788.77,3.344,467.36
Normal,thermostat,67.17,46365.43,1.597,711.97
DDoS,thermostat,488.26,147491.56,1.513,557.32
Normal,camera,85.54,93735.14,1.61,571.57
Normal,thermostat,77.25,20382.93,2.336,605.57
Normal,camera,131.81,88772.8,0.742,708.78
Normal,camera,146.11,72336.25,1.768,610.77
DDoS,light,246.98,75280.17,13.871,385.04
Normal,light,35.09,26602.55,0.334,867.36
Normal,light,6.55,20493.19,3.563,826.26
Normal,thermostat,72.64,26511.09,3.615,514.86
Normal,thermostat,42.61,11031.94,2.273,627.5
DDoS,speaker,490.02,242055.7,6.719,454.71
Normal,thermostat,32.06,34652.42,2.319,641.33
Normal,thermostat,49.3,30574.03,2.342,761.51
Normal,camera,137.73,97624.37,5.855,680.11
Normal,thermostat,72.13,30911.31,3.483,649.37
Normal,thermostat,36.0,3579.17,4.512,713.25
DDoS,thermostat,521.45,139577.04,11.339,663.73
DDoS,light,343.5,47193.02,5.081,556.98
DDoS,thermostat,411.66,146714.55,4.253,425.13
DDoS,light,321.94,76021.88,3.634,622.8
DDoS,light,330.72,154994.47,4.824,665.29
Normal,speaker,73.9,48735.99,3.721,692.85
DDoS,light,225.73,100584.84,1.486,663.59
DDoS,speaker,473.94,201929.43,6.731,447.18
DDoS,camera,783.62,582537.05,8.299,574.08
Normal,camera,117.64,88871.85,2.426,747.19
Normal,camera,101.51,93687.71,8.001,517.54
DDoS,light,365.94,107038.79,10.706,532.5
DDoS,speaker,648.7,197886.35,0.163,633.48
DDoS,camera,813.86,394969.27,5.261,600.9
Normal,speaker,89.33,19938.21,0.6,873.89
Normal,camera,119.99,101381.11,4.19,613.81
Normal,speaker,59.65,9272.4,2.704,651.17
DDoS,thermostat,347.45,148152.36,0.544,582.63
Normal,camera,114.43,96752.64,1.044,734.02
Normal,thermostat,62.16,24787.1,0.946,648.19
DDoS,camera,797.6,659822.66,1.795,489.64
Normal,camera,107.85,69085.34,0.211,614.93
DDoS,thermostat,414.33,150449.43,5.438,378.8
Normal,speaker,80.66,26555.76,1.32,653.19
DDoS,thermostat,504.61,100465.46,2.365,400.56
Normal,thermostat,100.92,39548.61,0.276,621.14
DDoS,light,297.21,123204.5,2.6,645.88
DDoS,light,341.74,107529.3,3.396,331.42
Normal,camera,87.09,85304.79,1.143,619.73
Normal,thermostat,77.28,29011.94,1.287,575.28
Normal,camera,120.93,74056.28,1.173,517.43
DDoS,camera,1231.59,314696.23,3.674,374.1
DDoS,light,188.4,53774.19,5.581,729.56
Normal,camera,143.15,103793.72,4.03,559.64
Normal,thermostat,44.0,45561.26,6.08,587.84
Normal,light,14.03,27540.26,2.689,712.48
DDoS,camera,704.38,284375.69,13.124,409.55
DDoS,light,328.52,102952.18,1.613,557.04
Normal,camera,129.33,88833.73,2.537,709.17
Normal,speaker,73.1,58328.58,2.415,585.69
Normal,thermostat,84.33,14995.03,1.922,605.66
Normal,speaker,54.73,31667.96,4.465,663.55
Normal,light,29.48,23051.67,2.469,770.66
Normal,camera,115.05,93266.39,0.699,554.35
Normal,light,31.75,17014.28,7.918,580.45
Normal,speaker,75.64,43841.3,3.649,773.15
Normal,light,53.74,10287.34,3.526,633.41
Normal,speaker,65.12,36268.1,2.489,724.88
Normal,speaker,96.9,57055.3,3.41,712.57
DDoS,camera,779.74,669497.02,2.095,514.64
DDoS,camera,804.23,346961.6,6.116,630.01
Normal,light,31.96,25425.27,4.036,719.76
Normal,thermostat,47.86,17929.85,1.154,745.88
DDoS,speaker,676.35,119330.08,12.065,521.99
DDoS,speaker,644.34,265123.23,1.024,488.6
Normal,thermostat,39.65,16151.14,1.265,526.43
Normal,camera,177.48,93194.13,2.723,673.91
Normal,light,68.72,12612.76,1.27,564.38
Normal,camera,135.9,113328.21,3.281,687.02
Normal,speaker,74.43,51724.59,0.476,564.69
Normal,thermostat,58.66,28330.3,2.03,744.33
DDoS,light,416.14,52515.46,5.719,562.99
Normal,camera,157.68,84276.29,4.08,401.0
Normal,light,49.31,31990.53,1.943,641.75
Normal,thermostat,49.62,14308.17,4.0,561.54
Normal,light,61.9,37612.43,4.647,739.76
Normal,camera,89.25,89332.91,3.271,585.86
Normal,light,43.65,100.0,3.852,639.31
DDoS,speaker,523.77,125496.57,3.717,543.23
Normal,camera,91.2,89374.97,0.383,723.53
DDoS,camera,611.18,553165.95,8.704,488.18
DDoS,camera,127.33,157055.18,1.68,750.98
Normal,light,50.72,7811.72,6.547,701.39
Normal,light,1.0,29731.91,2.28,674.08
Normal,thermostat,71.48,25936.93,3.062,672.53
DDoS,camera,849.95,251787.82,3.274,358.6
DDoS,thermostat,536.95,112720.24,6.293,360.19
DDoS,light,183.59,96716.58,3.368,541.54
Normal,thermostat,96.98,29852.9,0.134,588.29
DDoS,speaker,556.39,94157.36,7.052,777.13
Normal,camera,148.79,81098.15,2.261,577.46
Normal,light,50.26,6613.45,19.269,748.76
Normal,thermostat,68.56,15719.02,3.977,685.24
Normal,thermostat,56.89,24696.48,1.267,714.13
DDoS,light,254.62,86766.8,4.421,350.82
Normal,light,44.21,22322.38,0.372,741.36
Normal,speaker,64.45,4877.33,2.426,400.38
Normal,camera,139.92,75845.32,4.539,665.85
DDoS,camera,943.54,371425.62,7.054,524.78
DDoS,light,214.33,58436.99,3.355,523.16
Normal,light,48.77,24051.83,3.324,580.03
Normal,camera,88.47,68952.21,2.975,667.3
Normal,camera,122.33,98955.33,4.682,813.44
DDoS,camera,971.25,664168.27,7.446,413.1
Normal,speaker,36.03,26135.42,1.593,640.99
Normal,camera,74.13,99348.35,4.665,704.53
Normal,thermostat,107.61,38508.16,3.001,580.85
Normal,camera,138.43,98432.84,2.943,626.99
DDoS,thermostat,397.67,119488.57,2.31,605.12
Normal,camera,127.92,91916.26,6.617,577.23
Normal,thermostat,87.82,11334.6,1.435,627.47
Normal,camera,134.06,102131.31,0.36,661.22
Normal,speaker,61.87,45891.34,1.219,715.27
DDoS,camera,980.8,569489.88,2.056,394.04
Normal,thermostat,51.07,26882.78,1.19,629.85
DDoS,speaker,696.17,75855.7,5.258,178.73
DDoS,light,201.91,108008.34,4.423,402.99
Normal,thermostat,65.55,22306.21,4.943,538.44
Normal,thermostat,62.01,32392.31,3.104,667.18
Normal,thermostat,52.54,34345.73,0.63,729.17
DDoS,light,269.7,120986.9,4.777,482.86
Normal,speaker,71.13,46573.01,2.233,614.68
Normal,light,62.87,26844.85,1.965,596.79
Normal,light,59.64,19208.82,3.867,648.73
DDoS,light,243.09,87458.11,3.761,584.98
Normal,thermostat,44.57,18753.41,0.947,786.98
Normal,camera,117.43,78299.74,4.273,559.55
Normal,light,19.21,21243.98,3.469,535.07
Normal,speaker,86.02,20533.01,0.866,678.69
DDoS,camera,1274.96,299192.54,3.403,483.54
Normal,light,40.65,14226.0,2.976,595.57
DDoS,camera,800.61,497024.85,9.312,597.05
DDoS,thermostat,337.96,84050.62,8.071,468.75
Normal,camera,136.42,90890.29,0.646,506.23
DDoS,thermostat,608.68,103799.57,3.253,436.41
Normal,light,82.96,36800.44,3.519,639.03
Normal,thermostat,75.75,36211.29,0.665,527.95
DDoS,light,461.1,86960.88,1.677,516.17
Normal,light,73.64,14396.18,0.842,784.38
Normal,speaker,60.1,15535.68,2.589,654.09
Normal,camera,102.94,81978.8,4.575,724.3
DDoS,thermostat,538.74,200264.85,12.28,342.51
Normal,camera,117.33,86272.24,4.566,534.5
Normal,speaker,63.66,59871.18,8.3,649.48
Normal,speaker,40.15,45880.59,1.235,644.17
DDoS,thermostat,442.3,128569.13,4.522,582.84
DDoS,speaker,603.19,122805.94,3.825,476.99
Normal,thermostat,54.37,23577.59,1.631,721.99
DDoS,light,304.87,83831.73,6.09,445.28
Normal,camera,110.15,95520.54,8.61,644.01
Normal,light,59.32,20044.97,2.431,525.02
DDoS,camera,978.7,264617.48,2.419,447.44
DDoS,speaker,335.28,210555.12,7.449,335.93
DDoS,light,403.03,109332.28,1.408,423.13
DDoS,light,299.23,129397.52,3.394,394.37
Normal,camera,100.64,83213.37,2.91,690.93
DDoS,thermostat,419.68,144084.97,2.599,448.0
Normal,camera,122.65,83394.58,6.245,745.04
Normal,thermostat,63.04,41617.45,2.767,635.83
Normal,camera,116.99,82694.12,0.844,646.68
Normal,speaker,93.54,26514.79,4.857,783.92
Normal,light,30.45,3355.03,1.758,735.5
Normal,thermostat,88.76,21331.16,3.196,728.58
Normal,thermostat,41.35,47305.63,3.037,651.5
Normal,thermostat,79.42,18853.01,1.294,725.24
Normal,light,34.85,28009.21,4.714,596.5
Normal,thermostat,70.17,41125.86,2.826,520.73
Normal,speaker,66.06,49623.98,1.814,738.58
DDoS,thermostat,345.62,48297.42,2.667,541.27
DDoS,speaker,564.42,328931.82,4.532,527.41
DDoS,speaker,556.19,123303.17,2.971,264.41
Normal,camera,144.15,85721.49,1.383,720.34
DDoS,speaker,652.32,149750.32,5.134,609.18
Normal,camera,129.29,85682.94,1.977,687.63
Normal,speaker,84.73,42210.43,2.658,758.77
Normal,thermostat,41.75,19450.01,3.224,795.48
DDoS,speaker,656.57,102147.73,4.665,464.73
Normal,speaker,50.17,28130.3,5.807,661.35
Normal,speaker,57.94,23540.18,2.226,687.54
Normal,light,59.07,29932.92,2.535,848.03
DDoS,thermostat,392.93,140613.95,2.679,475.49
Normal,camera,153.47,107595.74,3.937,555.68
Normal,thermostat,83.05,18477.74,5.741,592.04
Normal,camera,129.49,90620.61,1.371,642.46
Normal,light,5.56,32121.4,0.384,670.04
DDoS,thermostat,492.79,64282.04,9.324,501.29
Normal,speaker,53.61,20722.51,2.242,650.26
DDoS,light,298.62,63012.74,3.511,689.78
Normal,speaker,116.73,52406.91,1.747,714.85
DDoS,camera,458.06,534166.39,2.112,353.4
Normal,speaker,76.4,34463.57,4.347,661.19
Normal,speaker,88.38,29948.8,2.366,609.08
Normal,thermostat,83.3,21568.8,6.332,708.48
Normal,light,47.27,20892.95,0.442,505.42
Normal,light,78.98,25548.46,0.635,615.88
DDoS,camera,846.66,806677.8,1.608,583.39
Normal,thermostat,42.25,4770.12,3.334,751.16
DDoS,thermostat,427.16,156395.55,2.817,522.31
DDoS,camera,660.35,101004.07,5.422,649.9
Normal,thermostat,76.94,18807.68,1.493,585.01
DDoS,camera,601.4,546121.28,2.743,552.37
DDoS,camera,1017.89,452479.62,9.565,656.97
Normal,camera,99.61,94257.92,0.195,718.1
DDoS,speaker,378.71,178854.12,2.886,498.38
Normal,thermostat,53.16,18520.85,2.416,728.99
Normal,speaker,57.03,31750.56,6.106,628.36
DDoS,thermostat,282.95,143028.62,7.817,467.93
Normal,thermostat,58.95,38839.93,1.666,722.65
Normal,thermostat,75.7,33314.29,6.917,703.66
Normal,thermostat,52.96,24153.77,0.529,711.25
DDoS,camera,679.7,447170.4,2.987,456.71
DDoS,light,269.24,69264.53,2.889,345.13
Normal,camera,154.52,96953.98,2.022,500.92
DDoS,light,312.68,75935.03,5.478,497.32
DDoS,light,328.02,89807.66,6.88,316.51
Normal,camera,154.74,85743.87,0.678,633.34
Normal,camera,109.27,83351.47,2.861,655.03
DDoS,light,287.96,109730.0,6.572,423.58
DDoS,thermostat,717.35,128142.93,2.846,461.0
DDoS,camera,1141.44,355508.53,5.285,691.6
Normal,speaker,79.02,50492.63,8.287,553.2
Normal,camera,91.89,103667.23,1.023,652.64
Normal,light,41.66,19754.82,3.829,647.55
Normal,speaker,116.22,44878.97,3.735,558.46
Normal,camera,106.43,101992.57,2.267,728.54
DDoS,camera,766.13,872780.38,9.267,761.07
Normal,camera,117.9,88337.19,2.635,647.83
DDoS,thermostat,588.91,91790.61,5.842,645.63
Normal,camera,138.35,90018.11,0.747,782.71
Normal,light,21.89,100.0,5.063,649.7
Normal,camera,102.18,108726.64,4.606,687.5
Normal,thermostat,54.07,13034.28,2.377,666.41
Normal,speaker,69.57,27003.54,1.724,638.0
DDoS,speaker,585.4,152244.02,3.863,476.84
DDoS,light,389.85,133277.7,1.549,697.54
Normal,thermostat,77.0,32223.23,2.421,558.99
Normal,light,55.51,9067.55,0.59,665.89
DDoS,thermostat,408.27,166269.56,1.317,694.44
Normal,thermostat,91.39,5171.14,4.307,612.33
Normal,camera,101.98,86170.85,1.671,641.95
Normal,speaker,64.15,5414.07,0.421,676.94
DDoS,thermostat,204.32,128913.06,4.867,671.38
Normal,camera,90.95,80313.87,4.638,673.54
Normal,thermostat,76.63,22714.17,1.995,769.92
DDoS,thermostat,432.77,161670.73,3.21,328.4
Normal,speaker,80.04,29999.7,2.096,577.41
Normal,light,69.39,16612.16,3.215,640.63
Normal,light,28.87,27105.07,2.503,678.16
DDoS,camera,120.55,535757.52,0.736,447.17
Normal,thermostat,49.39,24347.91,1.215,594.68
DDoS,thermostat,573.24,146281.15,4.711,567.42
DDoS,camera,632.97,367191.62,2.517,229.43
Normal,camera,84.82,96088.52,2.58,785.99
DDoS,light,382.17,94459.69,5.242,657.02
Normal,camera,118.73,79610.35,1.349,753.87
Normal,thermostat,41.24,29285.95,1.135,671.68
Normal,camera,155.73,85307.4,4.404,736.74
Normal,camera,150.38,90134.02,3.416,624.27
Normal,camera,130.68,105607.96,5.419,573.76
Normal,speaker,71.36,42164.67,4.661,779.61
Normal,speaker,81.25,13654.62,1.921,823.99
DDoS,speaker,808.63,76479.93,5.689,424.18
Normal,thermostat,53.88,2374.69,10.531,668.2
DDoS,camera,861.19,598154.28,3.183,360.13
Normal,thermostat,84.24,16289.99,1.661,657.2
Normal,thermostat,48.7,32549.62,0.558,664.43
Normal,speaker,65.73,36343.72,3.141,460.56
Normal,camera,127.07,98600.73,1.783,512.18
Normal,thermostat,102.58,26755.67,1.327,658.68
DDoS,camera,799.3,509855.53,8.065,343.96
DDoS,thermostat,532.0,125150.66,5.032,498.6
DDoS,light,354.94,117528.79,2.36,423.35
Normal,thermostat,55.62,21275.07,5.911,651.15
DDoS,thermostat,612.74,141108.73,6.447,659.74
Normal,thermostat,66.74,17516.68,2.494,620.51
Normal,thermostat,82.33,36564.85,0.591,674.84
DDoS,light,230.9,112345.85,6.152,492.35
Normal,speaker,65.48,33826.46,5.568,795.38
Normal,speaker,69.37,25505.01,5.326,689.71
Normal,light,55.73,30301.62,1.126,724.63
Normal,thermostat,49.32,17890.49,3.255,833.18
DDoS,light,340.12,93929.1,1.792,370.89
Normal,thermostat,75.95,25167.74,5.786,574.43
DDoS,camera,857.43,787064.06,5.454,494.36
Normal,speaker,58.9,31882.2,1.972,694.05
Normal,camera,127.9,83686.02,2.88,752.56
Normal,speaker,113.48,34165.93,2.407,609.57
Normal,thermostat,49.21,36238.08,0.617,668.07
Normal,light,17.97,3634.0,7.341,724.05
DDoS,light,196.69,68270.14,5.523,672.89
DDoS,speaker,396.74,89594.08,4.737,472.81
DDoS,light,412.53,45983.76,6.197,622.69
DDoS,light,276.53,66557.61,2.774,596.84
DDoS,camera,684.29,565466.47,2.002,563.96
Normal,thermostat,70.41,41801.2,1.471,652.68
DDoS,camera,748.92,493020.76,1.305,694.66
Normal,light,88.28,18749.36,3.725,598.94
Normal,thermostat,22.84,3638.76,2.067,768.23
Normal,light,81.31,1164.85,5.928,571.25
Normal,camera,125.99,89325.4,2.323,709.84
Normal,camera,95.42,88813.53,1.393,596.99
DDoS,light,395.36,83625.17,6.17,764.33
Normal,camera,111.66,77507.94,3.809,719.9
Normal,camera,118.71,89589.57,1.381,619.77
Normal,camera,123.2,110761.4,0.454,680.94
Normal,speaker,57.75,20061.54,2.657,600.53
Normal,light,49.14,33969.65,1.899,549.74
Normal,thermostat,95.45,26020.85,0.515,673.18
Normal,camera,125.56,103310.5,1.495,647.22
Normal,thermostat,54.33,41115.94,4.929,656.38
DDoS,light,341.48,96546.64,1.851,410.88
DDoS,light,444.27,116785.07,1.921,655.36
Normal,camera,143.2,92316.61,0.562,662.96
Normal,camera,114.37,93940.66,1.047,532.3
Normal,camera,115.58,92933.45,5.1,569.14
DDoS,light,331.24,69452.06,11.262,549.37
Normal,light,40.02,16130.29,1.925,652.41
Normal,camera,95.09,87745.27,3.429,857.79
DDoS,camera,595.96,375318.0,6.04,617.31
Normal,camera,138.76,102455.65,3.057,648.22
Normal,speaker,74.69,47817.93,4.862,643.93
Normal,camera,112.2,110068.87,4.039,579.15
DDoS,light,335.38,120272.31,2.322,383.48
DDoS,light,380.88,88127.6,6.35,556.12
DDoS,thermostat,334.02,89833.87,3.948,597.54
Normal,camera,137.16,97608.92,1.026,583.12
Normal,camera,87.8,85594.28,5.366,648.71
DDoS,light,136.09,76635.34,3.091,533.05
DDoS,light,228.46,79974.51,3.729,530.5
Normal,light,9.41,25445.52,2.162,776.15
DDoS,thermostat,329.5,135063.71,3.05,504.46
